timestamp,rainfall_amount,pressure,humidity,air_temperature,time_difference
2024-07-07 16:40,1,"1,000.50",4,26,2
2024-07-07 16:30,7,"1,000.40",4.2,26,1
2024-07-07 16:20,0.5,"1,000.30",5.3,27.7,1
2024-07-07 20:50,0.5,"1,003.30",3.3,25.4,2
2024-07-05 4:00,1,"1,001.20",5.2,24.1,3
2024-07-05 4:10,0.5,"1,001.30",4.8,24.1,1
2024-07-05 3:50,0.5,"1,001.60",5.6,24.1,2
2024-07-05 3:40,0.5,"1,001.60",5.1,24.1,3
2024-07-05 3:30,0,"1,001.80",3.5,24,2
2024-07-05 3:20,0.5,"1,002.00",3.5,24.1,1
2024-06-30 14:40,0.5,"1,000.40",3.4,26.7,1
2024-06-30 13:50,1,"1,000.90",3.7,26.9,3
2024-06-30 13:40,4,"1,001.40",3.3,27.3,2
2024-07-07 16:40,1,"1,000.50",4,26,2
2024-07-07 16:30,7,"1,000.40",4.2,26,1
2024-07-07 16:20,0.5,"1,000.30",5.3,27.7,1
2024-06-07 21:20,0.5,"1,002.10",4.2,24.7,2
2024-06-07 21:00,0.5,"1,002.00",3.8,24.9,1
2024-06-26 21:10,0.5,"1,004.00",3.4,25.1,3
2024-06-26 20:10,0.5,"1,003.20",3.3,25.4,2